Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Mohr S., Kühl R.","57221969372;7003426672;","Acceptance of artificial intelligence in German agriculture: an application of the technology acceptance model and the theory of planned behavior",2021,"Precision Agriculture","22","6",,"1816","1844",,6,"10.1007/s11119-021-09814-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107629354&doi=10.1007%2fs11119-021-09814-x&partnerID=40&md5=06c0d116668f3b16e40c57ada7e7e116","Artificial intelligence; Structural equation model; Survey; Technology acceptance model; Theory of planned behavior","agricultural economics; agricultural modeling; agricultural technology; artificial intelligence; attitudinal survey; crop yield; farmers attitude; planning theory; property rights; Germany",Article,Scopus,2-s2.0-85107629354
"Friggens M.M., Loehman R.A., Constan C.I., Kneifel R.R.","8972883500;7006662631;57203154273;57224448406;","Predicting wildfire impacts on the prehistoric archaeological record of the Jemez Mountains, New Mexico, USA",2021,"Fire Ecology","17","1","18","","",,1,"10.1186/s42408-021-00103-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107583259&doi=10.1186%2fs42408-021-00103-6&partnerID=40&md5=c0a3718bbabf45e4654ad5155b5bcc65","archaeology; burn severity; fire management; Jemez Mountains; LANDFIRE; Random Forest; wildfire","archaeology; artifact; climate variation; fire history; fire management; hazard management; human activity; machine learning; prediction; prehistoric; wildfire; Jemez Mountains; New Mexico; United States",Article,Scopus,2-s2.0-85107583259
"Yu H., Deng J., Nathan R., Kröschel M., Pekarsky S., Li G., Klaassen M.","57309062600;57222731456;57204309052;55552043700;56490994000;57222732338;7004383496;","An evaluation of machine learning classifiers for next-generation, continuous-ethogram smart trackers",2021,"Movement Ecology","9","1","15","","",,5,"10.1186/s40462-021-00245-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103895441&doi=10.1186%2fs40462-021-00245-x&partnerID=40&md5=fbf3dc0941dc1194e4fa73dbb6d7353f","Accelerometer; ANN; Behaviour classification; On-board processing; Random forest; XGBoost",,Article,Scopus,2-s2.0-85103895441
"Morera A., Martínez de Aragón J., Bonet J.A., Liang J., de-Miguel S.","57222385390;22941485000;35578910900;12752815000;17343492500;","Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems",2021,"Forest Ecosystems","8","1","21","","",,3,"10.1186/s40663-021-00297-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102570180&doi=10.1186%2fs40663-021-00297-w&partnerID=40&md5=c1647f4d070511b4baa89f350b08f92e","Biogeography; Climate; Forest; Fungi, Mushrooms; Modeling; Regression",,Article,Scopus,2-s2.0-85102570180
"Torney C.J., Morales J.M., Husmeier D.","24588214300;24822265100;57204305213;","A hierarchical machine learning framework for the analysis of large scale animal movement data",2021,"Movement Ecology","9","1","6","","",,1,"10.1186/s40462-021-00242-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101274490&doi=10.1186%2fs40462-021-00242-0&partnerID=40&md5=ec5ada9ed2520b98091ee8ea4029d194","Animal movement; Large-scale data; Machine learning",,Article,Scopus,2-s2.0-85101274490
"Bezerra C.O., Carneiro L.L., Carvalho E.A., das Chagas T.P., de Carvalho L.R., Uetanabaro A.P.T., da Silva G.P., da Silva E.G.P., da Costa A.M.","57219441336;57203010778;57221391174;49560957700;57543567800;6506229058;13005424500;8579318200;36798731600;","Artificial Intelligence as a Combinatorial Optimization Strategy for Cellulase Production by Trichoderma stromaticum AM7 Using Peach-Palm Waste Under Solid-State Fermentation",2021,"Bioenergy Research","14","4",,"1161","1170",,1,"10.1007/s12155-020-10234-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099048560&doi=10.1007%2fs12155-020-10234-4&partnerID=40&md5=55570e63f4aa7dd4e6b00529ce052ce3","Agro-industrial waste; Carboxymethylcellulases; Culture optimization; Enzyme; Fungi; Saccharification","Cellulose derivatives; Combinatorial optimization; Enzymes; Fermentation; Fruits; Genetic algorithms; Neural networks; Saccharification; Scanning electron microscopy; Waste treatment; Agro-industrial wastes; Biofuel production; Cellulase production; Experimental values; Nitrogen sources; Reducing sugars; Solid-state fermentation; Waste valorizations; Substrates",Article,Scopus,2-s2.0-85099048560
"Morimoto J., Ponchon A., Sofronov G., Travis J.","57189363977;55180502500;57519750000;7202590231;","Editorial: Applications of Machine Learning to Evolutionary Ecology Data",2021,"Frontiers in Ecology and Evolution","9",,"797319","","",,,"10.3389/fevo.2021.797319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121204757&doi=10.3389%2ffevo.2021.797319&partnerID=40&md5=e0a8211655c6f15aded8dad34d2bde7b","artificial intelligence; ecological theories; innovation; machine learning; niche adaptation",,Editorial,Scopus,2-s2.0-85121204757
"Untiedt C.B., Williams A., Althaus F., Alderslade P., Clark M.R.","57216437188;8274985300;7006003735;6506825136;7404528797;","Identifying Black Corals and Octocorals From Deep-Sea Imagery for Ecological Assessments: Trade-Offs Between Morphology and Taxonomy",2021,"Frontiers in Marine Science","8",,"722839","","",,,"10.3389/fmars.2021.722839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120440887&doi=10.3389%2ffmars.2021.722839&partnerID=40&md5=acb9839765dab314faf790cbe40eadc0","benthic habitats; biodiversity; image annotation; morphospecies; seamounts; towed camera; vulnerable marine ecosystems",,Article,Scopus,2-s2.0-85120440887
"Wall W.A., Hohmann M.G., Just M.G., Hoffmann W.A.","26535209600;13806932400;55650541400;7202758244;","Characterizing past fire occurrence in longleaf pine ecosystems with the Mid-Infrared Burn Index and a Random Forest classifier",2021,"Forest Ecology and Management","500",,"119635","","",,1,"10.1016/j.foreco.2021.119635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114121999&doi=10.1016%2fj.foreco.2021.119635&partnerID=40&md5=83a9ce398ccf3a11f82cf47fad9855de","Fire modeling; Pinus palustris; Prescribed fire; Pyrodiversity; Rare plant management; Threatened, endangered and at-risk species","Decision trees; Ecosystems; Fires; Forestry; Infrared devices; Learning algorithms; Machine learning; Satellite imagery; Wetlands; Fire frequencies; Fire models; Longleaf pine ecosystems; Midinfrared; Pinus palustris; Prescribed fires; Pyrodiversity; Random forest modeling; Rare plant management; Threatened, endangered and at-risk species; Plant management; coniferous forest; coniferous tree; ecological modeling; endemic species; fire history; index method; Landsat; satellite imagery; wetland; Ecosystems; Fires; Forestry; Frequency; Pinus Palustris; Records; Wetlands; Fort Bragg; North Carolina; United States; United States; Pinus palustris",Article,Scopus,2-s2.0-85114121999
"Strydom T., Catchen M.D., Banville F., Caron D., Dansereau G., Desjardins-Proulx P., Forero-Muñoz N.R., Higino G., Mercier B., Gonzalez A., Gravel D., Pollock L., Poisot T.","57212867789;57275358700;57204007130;57274778000;57197862955;54782371200;57211517941;57223710492;57225794133;7404585173;12796736600;54400441600;35225250000;","A roadmap towards predicting species interaction networks (across space and time)",2021,"Philosophical Transactions of the Royal Society B: Biological Sciences","376","1837","20210063","","",,4,"10.1098/rstb.2021.0063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115876680&doi=10.1098%2frstb.2021.0063&partnerID=40&md5=35aebc0457bb73437a72299a93ac004b","biogeography; deep learning; ecological forecasting; ecological networks; machine learning","artificial neural network; community ecology; intraspecific interaction; network analysis; prediction; spatiotemporal analysis; biological model; biota; host parasite interaction; spatiotemporal analysis; Biota; Host-Parasite Interactions; Models, Biological; Neural Networks, Computer; Spatio-Temporal Analysis",Review,Scopus,2-s2.0-85115876680
"Carlson C.J., Farrell M.J., Grange Z., Han B.A., Mollentze N., Phelan A.L., Rasmussen A.L., Albery G.F., Bett B., Brett-Major D.M., Cohen L.E., Dallas T., Eskew E.A., Fagre A.C., Forbes K.M., Gibb R., Halabi S., Hammer C.C., Katz R., Kindrachuk J., Muylaert R.L., Nutter F.B., Ogola J., Olival K.J., Rourke M., Ryan S.J., Ross N., Seifert S.N., Sironen T., Standley C.J., Taylor K., Venter M., Webala P.W.","55944491500;55650859400;56029084100;9736346500;55837310000;56242733500;50462309200;57189088946;36132872400;15122055300;57222065808;55505867200;24477111600;55646070000;55927206200;57195273675;35145742400;57204586742;7401788556;6507134040;56115267900;7003487571;57207767943;11141168500;57201188665;10039124600;57194691291;57203181978;6507910298;26421427000;57220637883;23490342000;7801599727;","The future of zoonotic risk prediction",2021,"Philosophical Transactions of the Royal Society B: Biological Sciences","376","1837","20200358","","",,4,"10.1098/rstb.2020.0358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115870134&doi=10.1098%2frstb.2020.0358&partnerID=40&md5=fc1c25dd05c94e2dc3dd6a50af0e2556","access and benefit sharing; epidemic risk; global health; machine learning; viral ecology; zoonotic risk","COVID-19; infectious disease; machine learning; risk; virus; animal; disease carrier; ecology; global health; human; laboratory; machine learning; pandemic; prevention and control; risk factor; veterinary medicine; virology; virus; wild animal; zoonosis; Animals; Animals, Wild; COVID-19; Disease Reservoirs; Ecology; Global Health; Humans; Laboratories; Machine Learning; Pandemics; Risk Factors; SARS-CoV-2; Viruses; Zoonoses",Review,Scopus,2-s2.0-85115870134
"Resente G., Gillert A., Trouillier M., Anadon-Rosell A., Peters R.L., von Arx G., von Lukas U., Wilmking M.","57211539675;57222516213;57194537790;55638077200;56596067300;36848027300;6506546807;57203064794;","Mask, Train, Repeat! Artificial Intelligence for Quantitative Wood Anatomy",2021,"Frontiers in Plant Science","12",,"767400","","",,,"10.3389/fpls.2021.767400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119377096&doi=10.3389%2ffpls.2021.767400&partnerID=40&md5=6760a40717525d7bd639a234f4fed6b5","artificial intelligence; deep learning; F1 score; lumen area; ROXAS; wood anatomy",,Article,Scopus,2-s2.0-85119377096
"Kitzes J., Blake R., Bombaci S., Chapman M., Duran S.M., Huang T., Joseph M.B., Lapp S., Marconi S., Oestreich W.K., Rhinehart T.A., Schweiger A.K., Song Y., Surasinghe T., Yang D., Yule K.","12801961000;36477131800;49762650000;57214151829;55785981100;57355875600;36767910600;57223302815;57113259400;57110276000;57217118661;56042034500;57355464300;15758580900;57224171180;36652157100;","Expanding NEON biodiversity surveys with new instrumentation and machine learning approaches",2021,"Ecosphere","12","11","e03795","","",,,"10.1002/ecs2.3795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120062332&doi=10.1002%2fecs2.3795&partnerID=40&md5=14f3ce0ba3321361c9f1eb7fdb2ae3eb","biogeography; deep learning; macroecology; monitoring; neural network; sensor; Special Feature: Harnessing the NEON Data Revolution; species",,Article,Scopus,2-s2.0-85120062332
"Saffariha M., Jahani A., Jahani R.","57215022611;57194568350;57191348485;","A comparison of artificial intelligence techniques for predicting hyperforin content in Hypericum perforatum L. in different ecological habitats",2021,"Plant Direct","5","11","e363","","",,,"10.1002/pld3.363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120007895&doi=10.1002%2fpld3.363&partnerID=40&md5=44a47776f147c8ab236f0620b00c8473","artificial intelligence; ecological modeling; graphical user interface; hyperforin; Hypericum perforatum",,Article,Scopus,2-s2.0-85120007895
"How J.J., Navlakha S., Chalasani S.H.","57211134934;23486588700;22956971800;","Neural network features distinguish chemosensory stimuli in Caenorhabditis elegans",2021,"PLoS Computational Biology","17","11","e1009591","","",,1,"10.1371/journal.pcbi.1009591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119936641&doi=10.1371%2fjournal.pcbi.1009591&partnerID=40&md5=2ce9cfeb31a31d91a7a9481c3a1d43d9",,"animal behavior; article; Caenorhabditis elegans; classifier; nerve cell network; nonhuman; nose; theoretical study; algorithm; animal; Caenorhabditis elegans; physiology; Algorithms; Animals; Caenorhabditis elegans; Neural Networks, Computer",Article,Scopus,2-s2.0-85119936641
"Love N.L.R., Bonnet P., Goëau H., Joly A., Mazer S.J.","57210106638;57195772427;24450343100;56264909800;7004055938;","Machine learning undercounts reproductive organs on herbarium specimens but accurately derives their quantitative phenological status: A case study of streptanthus tortuosus",2021,"Plants","10","11","2471","","",,2,"10.3390/plants10112471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119057135&doi=10.3390%2fplants10112471&partnerID=40&md5=689a998cdcf669ce5c434b035f5388d4","Climate change; Deep learning; Flowering time; Natural history collections; Object detection; Phenological shift; Phenological stage annotation; Phenology; Regional convolutional neural network; Visual data classification",,Article,Scopus,2-s2.0-85119057135
"Marchowski D.","56955761600;","Drones, automatic counting tools, and artificial neural networks in wildlife population censusing",2021,"Ecology and Evolution","11","22",,"16214","16227",,,"10.1002/ece3.8302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118509849&doi=10.1002%2fece3.8302&partnerID=40&md5=6e54c5ba2a9f4ce22d711cde1a79cf9e","bird monitoring; birds’ reactions to drones; machine learning; microbiological tools in ecological research; unmanned aerial vehicle; waterbirds",,Article,Scopus,2-s2.0-85118509849
"Fountain-Jones N.M., Smith M.L., Austerlitz F.","55359929500;57220055052;6603938623;","Machine learning in molecular ecology",2021,"Molecular Ecology Resources","21","8",,"2589","2597",,2,"10.1111/1755-0998.13532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118508749&doi=10.1111%2f1755-0998.13532&partnerID=40&md5=bbb4bde929231dce16ab49ba59de2abe",,"ecology; machine learning; Ecology; Machine Learning",Editorial,Scopus,2-s2.0-85118508749
"Men G., He G., Wang G.","57315902800;14028364400;36519783300;","Concatenated residual attention unet for semantic segmentation of urban green space",2021,"Forests","12","11","1441","","",,,"10.3390/f12111441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118196421&doi=10.3390%2ff12111441&partnerID=40&md5=dd486cc28fbcb6f83f891df2b1dd1493","Attention mechanism; Convolutional neural network; Deep learning; Remote sensing; Residual structure; Urban green space","Classification (of information); Convolution; Convolutional neural networks; Deep learning; Extraction; Image enhancement; Mapping; Semantic Segmentation; Semantics; Space optics; Sustainable development; Attention mechanisms; Convolutional neural network; Deep learning; Ecological environments; Environment systems; Remote sensing images; Remote-sensing; Residual structure; Semantic segmentation; Urban green spaces; Remote sensing; artificial neural network; greenspace; image classification; pixel; remote sensing; spatial resolution; urban area; Classification; Edges; Extraction; Images; Mapping; Methods; Remote Sensing; Resolution; China; Guangdong; Shenzhen",Article,Scopus,2-s2.0-85118196421
"Overcast I., Ruffley M., Rosindell J., Harmon L., Borges P.A.V., Emerson B.C., Etienne R.S., Gillespie R., Krehenwinkel H., Mahler D.L., Massol F., Parent C.E., Patiño J., Peter B., Week B., Wagner C., Hickerson M.J., Rominger A.","57193169047;57191823907;16417591100;7004753639;7003533390;55809548900;7007068615;7102158431;55624380500;23485748700;16234024600;14045647700;15923910300;37034791900;57203871215;26434992900;6603267379;27968098300;","A unified model of species abundance, genetic diversity, and functional diversity reveals the mechanisms structuring ecological communities",2021,"Molecular Ecology Resources","21","8",,"2782","2800",,4,"10.1111/1755-0998.13514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117606327&doi=10.1111%2f1755-0998.13514&partnerID=40&md5=cd04e157976c4c4042f091eeda20044f","community ecology; community genetic diversity; community phylogenetics; comparative phylogeography; population genetics","biodiversity; biological model; biota; genetic variation; phylogeny; Biodiversity; Biota; Genetic Variation; Models, Biological; Phylogeny",Conference Paper,Scopus,2-s2.0-85117606327
"Yousefi S., Avand M., Yariyan P., Jahanbazi Goujani H., Costache R., Tavangar S., Tiefenbacher J.P.","56872543000;57211272433;57215842513;57278122200;55888132500;56490370800;6602615383;","Identification of the most suitable afforestation sites by Juniperus excels specie using machine learning models: Firuzkuh semi-arid region, Iran",2021,"Ecological Informatics","65",,"101427","","",,,"10.1016/j.ecoinf.2021.101427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115984822&doi=10.1016%2fj.ecoinf.2021.101427&partnerID=40&md5=118d7360242b1990c6f51afd928245b2","Afforestation; Firuzkuh region; Forest restoration; Site suitability; Tree planting","afforestation; dicotyledon; ecological modeling; identification method; machine learning; rainfall; restoration ecology; semiarid region; Iran; Tehran [Iran]; Juniperus",Article,Scopus,2-s2.0-85115984822
"Chadès I., Pascal L.V., Nicol S., Fletcher C.S., Ferrer-Mestres J.","6507138908;57219554366;35729355400;15836804600;56131980800;","A primer on partially observable Markov decision processes (POMDPs)",2021,"Methods in Ecology and Evolution","12","11",,"2058","2072",,,"10.1111/2041-210X.13692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114837912&doi=10.1111%2f2041-210X.13692&partnerID=40&md5=3c9eb4797fd7bcd956721a8e883501a4","AI; decisions; partially observable Markov decision processes; stochastic dynamic programming; uncertainty",,Review,Scopus,2-s2.0-85114837912
"Matthias L., Allison M.J., Maslovat C.Y., Hobbs J., Helbing C.C.","57256422700;57207817596;6505472274;57191863204;7004291628;","Improving ecological surveys for the detection of cryptic, fossorial snakes using eDNA on and under artificial cover objects",2021,"Ecological Indicators","131",,"108187","","",,,"10.1016/j.ecolind.2021.108187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114830362&doi=10.1016%2fj.ecolind.2021.108187&partnerID=40&md5=87007d6afc7a1c6bf037b92513856c44","Artificial cover object; Endangered reptile; environmental DNA; Fossorial snake; Non-lethal sampling; Robust methods development","Artificial intelligence; Conservation; Ecology; Forestry; Polymerase chain reaction; Soil surveys; Soils; Artificial cover; Artificial cover object; Endangered reptile; Environmental DNA; Fossorial snake; Method development; Non-lethal; Non-lethal sampling; Robust method development; Robust methods; DNA; detection method; DNA; endangered species; inhibition; inhibitor; photodegradation; snake; Contia; Contia tenuis; Reptilia; Serpentes",Article,Scopus,2-s2.0-85114830362
"Yoon S., Lee W.-H.","57250330100;55767355500;","Methodological analysis of bioclimatic variable selection in species distribution modeling with application to agricultural pests (Metcalfa pruinosa and Spodoptera litura)",2021,"Computers and Electronics in Agriculture","190",,"106430","","",,3,"10.1016/j.compag.2021.106430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114499338&doi=10.1016%2fj.compag.2021.106430&partnerID=40&md5=e5c824349649bb54a73e6836ab24b0e1","Bioclimatic variable; Ensemble modeling; MaxEnt; Model variable selection; Statistics","Agricultural robots; Population distribution; Principal component analysis; Agricultural pests; Bioclimatic variables; Ensemble models; Maxent; MaxEnt models; Model variable selection; Model variables; Species distribution modeling; Spodoptera litura; Variables selections; Forecasting; bioclimatology; crop pest; ecological modeling; methodology; reconstruction; species occurrence; Spodoptera litura",Article,Scopus,2-s2.0-85114499338
"Fountain-Jones N.M., Kozakiewicz C.P., Forester B.R., Landguth E.L., Carver S., Charleston M., Gagne R.B., Greenwell B., Kraberger S., Trumbo D.R., Mayer M., Clark N.J., Machado G.","55359929500;57194188211;55766514000;35268710300;7003773446;55911425300;55256647900;56311272700;37057713200;54080480600;57628002500;56048761800;37052478400;","MrIML: Multi-response interpretable machine learning to model genomic landscapes",2021,"Molecular Ecology Resources","21","8",,"2766","2781",,2,"10.1111/1755-0998.13495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114320453&doi=10.1111%2f1755-0998.13495&partnerID=40&md5=72319c7cb18ae03548a7a181e41813d8","artificial intelligence; community ecology; ecological genetics; gradient boosting models; landscape genetics; random forest","adaptation; animal; genomics; Lynx; machine learning; Populus; Adaptation, Physiological; Animals; Genomics; Lynx; Machine Learning; Populus",Conference Paper,Scopus,2-s2.0-85114320453
"García-Vega A., Fuentes-Pérez J.F., Fukuda S., Kruusmaa M., Sanz-Ronda F.J., Tuhtan J.A.","56113020300;56111768300;36082298000;8925199700;15756243700;43361846100;","Artificial lateral line for aquatic habitat modelling: An example for Lefua echigonia",2021,"Ecological Informatics","65",,"101388","","",,1,"10.1016/j.ecoinf.2021.101388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113307903&doi=10.1016%2fj.ecoinf.2021.101388&partnerID=40&md5=d4d699257d5a224a79a8f0708409d865","Artificial lateral line; Habitat assessment; Habitat suitability model; Lefua echigonia; Machine learning","abundance; aquatic environment; cyprinid; ecological modeling; endangered species; habitat selection; habitat structure; Japan; Lefua echigonia",Article,Scopus,2-s2.0-85113307903
"Pan Y., Flindt M., Schneider-Kamp P., Holmer M.","57226714845;35617290000;6506662701;7003417535;","Beach wrack mapping using unmanned aerial vehicles for coastal environmental management",2021,"Ocean and Coastal Management","213",,"105843","","",,2,"10.1016/j.ocecoaman.2021.105843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112471434&doi=10.1016%2fj.ocecoaman.2021.105843&partnerID=40&md5=a2b1f4f3b9bb14a9dbac163cf86f69a3","Beach wrack; Blue carbon ecosystems; Environmental management; Object-based image analysis; Unmanned aerial vehicles","Antennas; Beaches; Decision trees; Ecosystems; Environmental management; Greenhouse gases; Image analysis; Mapping; Nearest neighbor search; Support vector machines; Aerial images; Aerial vehicle; Beach wrack; Blue carbon ecosystem; Ecological values; Feature space; Greenhouses gas; Local residents; Object-based image analyse; Support vectors machine; Unmanned aerial vehicles (UAV); beach feature; coastal zone; environmental management; machine learning; mapping method; unmanned vehicle",Article,Scopus,2-s2.0-85112471434
"Pichler M., Hartig F.","57211870948;24773326300;","A new joint species distribution model for faster and more accurate inference of species associations from big community data",2021,"Methods in Ecology and Evolution","12","11",,"2159","2173",,2,"10.1111/2041-210X.13687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112268755&doi=10.1111%2f2041-210X.13687&partnerID=40&md5=5d2450de341b40add335f3901934f4ff","big data; co-occurrence; machine learning; metacommunity; regularization; statistics",,Article,Scopus,2-s2.0-85112268755
"Baxter C., Mallen-Cooper M., Lyons M.B., Cornwell W.K.","57226613742;57188687293;36816111900;15028126900;","Measuring reflectance of tiny organisms: The promise of species level biocrust remote sensing",2021,"Methods in Ecology and Evolution","12","11",,"2174","2183",,,"10.1111/2041-210X.13690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112114701&doi=10.1111%2f2041-210X.13690&partnerID=40&md5=7d2e40d49cd7b09ea3d71f40c26ae1f7","biocrusts; biological soil crust; classification; drylands; hyperspectral; random forests; remote sensing; species level",,Article,Scopus,2-s2.0-85112114701
"Chen F., Koh X.P., Tang M.L.Y., Gan J., Lau S.C.K.","57226560963;57213312110;57226567021;7102366816;8646306200;","Microbiological assessment of ecological status in the Pearl River Estuary, China",2021,"Ecological Indicators","130",,"108084","","",,1,"10.1016/j.ecolind.2021.108084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111971444&doi=10.1016%2fj.ecolind.2021.108084&partnerID=40&md5=24291cebc97e375d1d4fa45c38f463a6","Bioindicator; Ecological status assessment; Free-living; Microbial community; Particle-attached; Pearl River estuary","Estuaries; Eutrophication; Gems; Microorganisms; Offshore oil well production; Particle size analysis; River pollution; Rivers; 'current; Community-based; Ecological status; Ecological status assessment; Free livings; Fundamental component; Microbial assemblage; Microbial communities; Particle-attached; Pearl River estuary; Biomarkers; assessment method; bioindicator; biomonitoring; microbial activity; microbial community; microbiology; China; Guangdong; Zhujiang Estuary; Indicator indicator; Marinobacterium; Ottowia",Article,Scopus,2-s2.0-85111971444
"Yu Q., Ji W., Prihodko L., Ross C.W., Anchang J.Y., Hanan N.P.","57214665542;57202074941;7801522301;57204685304;57204696723;7004246857;","Study becomes insight: Ecological learning from machine learning",2021,"Methods in Ecology and Evolution","12","11",,"2117","2128",,2,"10.1111/2041-210X.13686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111807327&doi=10.1111%2f2041-210X.13686&partnerID=40&md5=235014eb599406611ac9b2be33b4977f","bivariate functional relationship; boosted regression tree (BRT); ecological inference; interpretation of machine learning models; random forest (RF); variable importance",,Article,Scopus,2-s2.0-85111807327
"Fonseca E.M., Colli G.R., Werneck F.P., Carstens B.C.","57202608446;55663851000;6504815407;8611816300;","Phylogeographic model selection using convolutional neural networks",2021,"Molecular Ecology Resources","21","8",,"2661","2675",,3,"10.1111/1755-0998.13427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107011920&doi=10.1111%2f1755-0998.13427&partnerID=40&md5=39541c9ca96c3eca4b6c5a1e195130ff","convolutional neural networks; deep learning; machine learning; Norops spp.; phylogeography","animal; Bayes theorem; genetics; genomics; lizard; phylogeography; Animals; Bayes Theorem; Genomics; Lizards; Neural Networks, Computer; Phylogeography",Conference Paper,Scopus,2-s2.0-85107011920
"Barrow L.N., Masiero da Fonseca E., Thompson C.E.P., Carstens B.C.","36720115000;56016704000;57218106750;8611816300;","Predicting amphibian intraspecific diversity with machine learning: Challenges and prospects for integrating traits, geography, and genetic data",2021,"Molecular Ecology Resources","21","8",,"2818","2831",,5,"10.1111/1755-0998.13303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105350326&doi=10.1111%2f1755-0998.13303&partnerID=40&md5=c4aeb0b52065f751f76bb4c7553756a7","Caudata; data repurposing; latitude; nucleotide diversity; phylogenetic signal; random forests","Amphibia; animal; biodiversity; genetics; geography; machine learning; phylogeny; Amphibians; Animals; Biodiversity; Geography; Machine Learning; Phylogeny",Conference Paper,Scopus,2-s2.0-85105350326
"Gain C., François O.","57221339310;7004552804;","LEA 3: Factor models in population genetics and ecological genomics with R",2021,"Molecular Ecology Resources","21","8",,"2738","2748",,4,"10.1111/1755-0998.13366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103164230&doi=10.1111%2f1755-0998.13366&partnerID=40&md5=c8c091dd80b0dd4a35ebfd2d5c4098f6","genotype–environment association tests; latent factor models; population structure; predictive ecological genomics; unsupervised machine learning","adaptation; algorithm; biological model; genomics; genotype; population genetics; Adaptation, Physiological; Algorithms; Genetics, Population; Genomics; Genotype; Models, Genetic",Conference Paper,Scopus,2-s2.0-85103164230
"Zhang Y., Xu B., Ji Y., Zhang C., Ren Y., Xue Y.","57202392218;7404589111;37080750200;55914644200;36350061100;37082484200;","Comparison of habitat models in quantifying the spatio-temporal distribution of small yellow croaker (Larimichthys polyactis) in Haizhou Bay, China",2021,"Estuarine, Coastal and Shelf Science","261",,"107512","","",,1,"10.1016/j.ecss.2021.107512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111993084&doi=10.1016%2fj.ecss.2021.107512&partnerID=40&md5=545ae0942da96fdd3c03c48acf9c021f","Classification; Habitat models; Machine learning; Regression; Spatio-temporal distribution","artificial neural network; ecological modeling; habitat availability; machine learning; perciform; spatial distribution; spatiotemporal analysis; China; Haizhou Bay; Jiangsu; Larimichthys polyactis; Pseudosciaena crocea; Sciaenidae",Article,Scopus,2-s2.0-85111993084
"Pierce J., Butler M.J., IV, Rzhanov Y., Lowell K., Dijkstra J.A.","57223044998;57642368600;55763862300;57217665158;15833875000;","Classifying 3-D Models of Coral Reefs Using Structure-From-Motion and Multi-View Semantic Segmentation",2021,"Frontiers in Marine Science","8",,"706674","","",,,"10.3389/fmars.2021.706674","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119065421&doi=10.3389%2ffmars.2021.706674&partnerID=40&md5=e540d1ed8ca465135441b8a4b0c4a167","coral reefs; deep learning; semantic segmentation; structural complexity; structure-from-motion (SfM) photogrammetry",,Article,Scopus,2-s2.0-85119065421
"Gershenson C.","56002726000;","Intelligence as Information Processing: Brains, Swarms, and Computers",2021,"Frontiers in Ecology and Evolution","9",,"755981","","",,,"10.3389/fevo.2021.755981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118666202&doi=10.3389%2ffevo.2021.755981&partnerID=40&md5=58576aa96017f6e11dfceb08dfe722a9","brain; cognition; computer; information; intelligence; mind; swarm",,Article,Scopus,2-s2.0-85118666202
